"IDtree","plot","forest_type","sp","heigth","CII","thick","petiol","compound","pubes","LA","SLA","LDMC","dens","pheno","P","C","N","CN","NP","Legum"
"7-98",7,"MIX","Lucan","2/2.5",1.5,0.167666666666667,3.8,0,"Yes",110.6755,488.462914866667,263.590028233333,0.124151806666667,"semideciduous",2.306262746,501,35.374,14.16294454,15.33823502,"no"
"7-99",7,"MIX","Retri","1/1.5",1.5,0.204,3.89,0,"Yes",17.4610333333333,213.513132133333,338.9081189,0.232474839666667,"deciduous",0.716775983,501,17.89,28.00447177,24.9589836,"no"
"8-1",8,"MIX","Caind","1/1.5",1,0.263,7.05333333333333,0,"No",38.4565666666667,93.78131721,418.477220233333,0.409384711,"evergreen",0.479678571,441,33.523,13.15514721,69.88638225,"no"
"8-10",8,"MIX","Machi","1/1.5",1,0.203333333333333,15.2666666666667,0,"No",74.5489666666667,118.043798066667,427.8055041,0.416747193333333,"evergreen",0.418387747,497,17.596,28.24505569,42.05668095,"no"
"8-11",8,"MIX","Ocver","1/1.5",1,0.144333333333333,6.13,0,"No",21.0045333333333,177.1865745,449.115748866667,0.398334228,"evergreen",0.737222857,535,24.504,21.83317009,33.23825321,"no"
"8-13",8,"MIX","Machi","2.5/3",2.5,0.216333333333333,18.6433333333333,0,"No",104.601166666667,103.823972463333,413.921504766667,0.445770788,"evergreen",0.394281018,497,15.646,31.76530743,39.68235668,"no"
"8-15",8,"MIX","Caind","1/1.5",1.5,0.219666666666667,6.79333333333333,0,"No",37.2009666666667,101.035191443333,416.051227533333,0.456197041,"evergreen",0.454141147,458,31.694,14.45068467,69.78887551,"no"
"8-16",8,"MIX","Maarb","1/1.5",2,0.195,45.7266666666667,0,"Yes",82.2265333333333,349.9202684,181.1761355,0.150721786,"evergreen",1.780722276,411,36.161,11.36583612,20.30692853,"no"
"8-17",8,"MIX","Cafro","1.5/2",3,0.19,50.29,0,"No",113.7776,111.23897153,483.303558466667,0.478381203333333,"evergreen",0.684828246,480,26.068,18.41338039,38.06501873,"no"
"8-18",8,"MIX","Ocver","2/2.5",2,0.161333333333333,6.55,0,"No",21.6317666666667,163.0716843,411.828996066667,0.381332291,"evergreen",1.283133145,528,30.333,17.40678469,23.63979149,"no"
"8-19",8,"MIX","Cafro","1/1.5",2.5,0.183333333333333,40.3066666666667,0,"No",98.4345,117.8526675,438.583494266667,0.466013351666667,"evergreen",0.975724815,484,34.435,14.05546682,35.29171286,"no"
"8-2",8,"MIX","Ocver","1/1.5",1,0.169666666666667,6.07333333333333,0,"No",24.3557666666667,176.562704833333,432.448282933333,0.340645362,"evergreen",0.9085154,525,29.997,17.50175018,33.01760213,"no"
"8-20",8,"MIX","Sigla","1/1.5",2,0.166,63.53,1,"No",92.137,160.78825005,410.23257315,0.374739457,"evergreen",0.640039782,472,20.362,23.18043414,31.8136475,"no"
"8-21",8,"MIX","Caela","2/2.5",1.5,0.144,7.19666666666667,0,"Yes",134.422933333333,482.567385,229.369988366667,0.146800286,"semideciduous",2.740944286,462,47.248,9.778191669,17.23785494,"no"
"8-22",8,"MIX","Ocver","2/2.5",1,0.148666666666667,5.21,0,"No",23.1544666666667,181.0822711,417.8321572,0.372317141,"evergreen",0.781351685,539,31.758,16.97210152,40.64494979,"no"
